code,prevalence,precision,recall,f1,auc
4019,0.5,0.5,0.5,0.5,0.42
42731,0.5,0.8,0.4,0.5333333333333333,0.81
4280,0.44999998807907104,0.7272727272727273,0.8888888888888888,0.7999999999999999,0.8585858585858586
5849,0.4000000059604645,0.0,0.0,0.0,0.8020833333333333
41401,0.30000001192092896,0.0,0.0,0.0,0.7023809523809523
2724,0.25,0.0,0.0,0.0,0.4666666666666666
25000,0.20000000298023224,0.0,0.0,0.0,0.328125
2859,0.20000000298023224,0.0,0.0,0.0,0.734375
2449,0.20000000298023224,0.0,0.0,0.0,0.421875
2762,0.15000000596046448,0.0,0.0,0.0,0.6862745098039215
2851,0.15000000596046448,0.0,0.0,0.0,0.8627450980392156
2720,0.15000000596046448,0.0,0.0,0.0,0.6862745098039216
496,0.15000000596046448,0.0,0.0,0.0,0.7450980392156863
53081,0.10000000149011612,0.0,0.0,0.0,0.5833333333333333
5990,0.10000000149011612,0.0,0.0,0.0,0.5
51881,0.10000000149011612,0.0,0.0,0.0,0.1111111111111111
486,0.05000000074505806,0.0,0.0,0.0,0.631578947368421
V053,0.0,0.0,0.0,0.0,0.0
V290,0.0,0.0,0.0,0.0,0.0
99592,0.0,0.0,0.0,0.0,0.0
